PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"PORTER, WM; ROBSON, AD; ABBOTT, LK",,,,"PORTER, WM; ROBSON, AD; ABBOTT, LK",,,FIELD SURVEY OF THE DISTRIBUTION OF VESICULAR ARBUSCULAR MYCORRHIZAL FUNGI IN RELATION TO SOIL-PH,JOURNAL OF APPLIED ECOLOGY,,,English,Article,,,,,,,,,"UNIV WESTERN AUSTRALIA,SCH AGR SOIL SCI,NEDLANDS,WA 6009,AUSTRALIA",,,"Abbott, Lynette K/F-7489-2011","Abbott, Lynette K/0000-0001-8586-7858",,,,10,94,108,4,31,BLACKWELL SCIENCE LTD,OXFORD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0021-8901,,,J APPL ECOL,J. Appl. Ecol.,AUG,1987,24,2,,,,,659,662,,10.2307/2403900,,,4,Biodiversity Conservation; Ecology,Biodiversity & Conservation; Environmental Sciences & Ecology,J6778,WOS:A1987J677800022,,,,,10/31/19
J,"PORTER, WM; ROBSON, AD; ABBOTT, LK",,,,"PORTER, WM; ROBSON, AD; ABBOTT, LK",,,FACTORS CONTROLLING THE DISTRIBUTION OF VESICULAR ARBUSCULAR MYCORRHIZAL FUNGI IN RELATION TO SOIL-PH,JOURNAL OF APPLIED ECOLOGY,,,English,Article,,,,,,,,,"UNIV WESTERN AUSTRALIA,SCH AGR SOIL SCI,NEDLANDS,WA 6009,AUSTRALIA",,,"Abbott, Lynette K/F-7489-2011","Abbott, Lynette K/0000-0001-8586-7858",,,,19,39,45,0,9,BLACKWELL SCIENCE LTD,OXFORD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0021-8901,,,J APPL ECOL,J. Appl. Ecol.,AUG,1987,24,2,,,,,663,672,,10.2307/2403901,,,10,Biodiversity Conservation; Ecology,Biodiversity & Conservation; Environmental Sciences & Ecology,J6778,WOS:A1987J677800023,,,,,10/31/19
J,"HO, I",,,,"HO, I",,,VESICULAR-ARBUSCULAR MYCORRHIZAE OF HALOPHYTIC GRASSES IN THE ALVORD DESERT OF OREGON,NORTHWEST SCIENCE,,,English,Article,,,,,,,,,,"HO, I (reprint author), US FOREST SERV,PACIFIC NW RES STN,FORESTRY SCI LAB,3200 JEFFERSON WAY,CORVALLIS,OR 97331, USA.",,,,,,,0,27,29,1,2,WASHINGTON STATE UNIV,PULLMAN,"PO BOX 645910, PULLMAN, WA 99164-5910",0029-344X,,,NORTHWEST SCI,Northwest Sci.,AUG,1987,61,3,,,,,148,151,,,,,4,Ecology,Environmental Sciences & Ecology,K3292,WOS:A1987K329200002,,,,,10/31/19
J,"MOREL, JL; MENCH, M; GUCKERT, A",,,,"MOREL, JL; MENCH, M; GUCKERT, A",,,HEAVY-METAL DYNAMICS IN THE RHIZOSPHERE - ROLE OF ROOT EXUDATES,REVUE D ECOLOGIE ET DE BIOLOGIE DU SOL,,,French,Article,,,,,,,,,,"MOREL, JL (reprint author), ECOLE NATL SUPER AGRON & IND ALIMENTAIRES,INST NATL POLYTECH LORRAINE,INRA,2 AVE FORET HAYE,F-54500 VANDOEUVRE,FRANCE.",,"Morel, Jean Louis/I-7560-2012","Morel, Jean Louis/0000-0002-5720-1482",,,,16,8,8,0,3,GAUTHIER-VILLARS,PARIS,"S P E S-JOURNAL DEPT, 120 BD ST GERMAIN, F-75006 PARIS, FRANCE",0035-1822,,,REV ECOL BIOL SOL,,JUL,1987,24,3,,,,,485,492,,,,,8,Ecology; Soil Science,Environmental Sciences & Ecology; Agriculture,N2378,WOS:A1987N237800021,,,,,10/31/19
J,"LAST, FT; DIGHTON, J; MASON, PA",,,,"LAST, FT; DIGHTON, J; MASON, PA",,,SUCCESSIONS OF SHEATHING MYCORRHIZAL FUNGI,TRENDS IN ECOLOGY & EVOLUTION,,,English,Review,,,,,,,,,,"LAST, FT (reprint author), UNIV NEWCASTLE UPON TYNE,DEPT SOIL SCI,NEWCASTLE TYNE NE1 7RU,TYNE & WEAR,ENGLAND.",,,,,,,0,135,140,4,32,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB",0169-5347,,,TRENDS ECOL EVOL,Trends Ecol. Evol.,JUN,1987,2,6,,,,,157,161,,10.1016/0169-5347(87)90066-8,,,5,Ecology; Evolutionary Biology; Genetics & Heredity,Environmental Sciences & Ecology; Evolutionary Biology; Genetics & Heredity,H9130,WOS:A1987H913000006,21227840,,,,10/31/19
J,"MEYER, FH",,,,"MEYER, FH",,,"THE RAMIFICATION INDEX, AN INDICATOR FOR DAMAGE TO THE FINE-ROOT SYSTEM OF DECLINING FORESTS",FORSTWISSENSCHAFTLICHES CENTRALBLATT,,,German,Article,,,,,,,,,,"MEYER, FH (reprint author), INST LANDSCHAFTSPFLEGE & NAT SCHUTZ,HERRENHAUSER STR 2,D-3000 HANNOVER 21,FED REP GER.",,,,,,,0,19,19,0,1,BLACKWELL WISSENSCHAFTS-VERLAG GMBH,BERLIN,"KURFURSTENDAMM 57, D-10707 BERLIN, GERMANY",0015-8003,,,FORSTWISS CENTRALBL,Forstwiss. Cent.bl.,MAY,1987,106,2,,,,,84,92,,10.1007/BF02741137,,,9,Forestry,Forestry,H5666,WOS:A1987H566600004,,,,,10/31/19
J,"WAALAND, ME; ALLEN, EB",,,,"WAALAND, ME; ALLEN, EB",,,RELATIONSHIPS BETWEEN VA MYCORRHIZAL FUNGI AND PLANT COVER FOLLOWING SURFACE MINING IN WYOMING,JOURNAL OF RANGE MANAGEMENT,,,English,Article,,,,,,,,,"UTAH STATE UNIV,CTR ECOL,LOGAN,UT 84322","WAALAND, ME (reprint author), UTAH STATE UNIV,DEPT RANGE SCI,LOGAN,UT 84322, USA.",,,,,,,24,36,37,0,7,SOC RANGE MANAGEMENT,DENVER,"1839 YORK ST, DENVER, CO 80206",0022-409X,,,J RANGE MANAGE,J. Range Manage.,MAY,1987,40,3,,,,,271,276,,10.2307/3899096,,,6,"Agriculture, Dairy & Animal Science; Ecology",Agriculture; Environmental Sciences & Ecology,H3912,WOS:A1987H391200019,,,,,10/31/19
J,"DAY, LD; SYLVIA, DM; COLLINS, ME",,,,"DAY, LD; SYLVIA, DM; COLLINS, ME",,,"INTERACTIONS AMONG VESICULAR-ARBUSCULAR MYCORRHIZAE, SOIL, AND LANDSCAPE POSITION",SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,,,English,Article,,,,,,,,,"UNIV FLORIDA,DEPT SOIL SCI,2169 MCCARTY HALL,GAINESVILLE,FL 32611",,,,,,,,23,14,21,0,1,SOIL SCI SOC AMER,MADISON,"677 SOUTH SEGOE ROAD, MADISON, WI 53711",0361-5995,,,SOIL SCI SOC AM J,Soil Sci. Soc. Am. J.,MAY-JUN,1987,51,3,,,,,635,639,,10.2136/sssaj1987.03615995005100030015x,,,5,Soil Science,Agriculture,H6449,WOS:A1987H644900015,,,,,10/31/19
J,"BETHLENFALVAY, GJ; AMES, RN",,,,"BETHLENFALVAY, GJ; AMES, RN",,,COMPARISON OF 2 METHODS FOR QUANTIFYING EXTRARADICAL MYCELIUM OF VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,,,English,Note,,,,,,,,,,"BETHLENFALVAY, GJ (reprint author), USDA ARS,WESTERN REG RES CTR,PLANT DEV PROD UNIT,PLANT SOIL SYMBIOSIS GRP,ALBANY,CA 94710, USA.",,,,,,,21,71,75,1,8,SOIL SCI SOC AMER,MADISON,"677 SOUTH SEGOE ROAD, MADISON, WI 53711",0361-5995,,,SOIL SCI SOC AM J,Soil Sci. Soc. Am. J.,MAY-JUN,1987,51,3,,,,,834,837,,10.2136/sssaj1987.03615995005100030049x,,,4,Soil Science,Agriculture,H6449,WOS:A1987H644900049,,,,,10/31/19
J,"Fagerstedt, KV; Crawford, RMM",,,,"Fagerstedt, K. V.; Crawford, R. M. M.",,,Is anoxia tolerance related to flooding tolerance?,FUNCTIONAL ECOLOGY,,,English,Article,,,,,,anoxia tolerance; flooding tolerance; Hordeum vulgare; localization of anoxic damage; tetrazolium chloride,,"Three barley cultivars, Hordeum vulgare L. cv. Kustaa, Hankkija-673 and Pokko were tested for their anoxia and. flooding tolerance to observe whether anoxia tolerance is related to flooding tolerance and whether the cultivars differ in their anoxia and flooding tolerance. Three-day-old seedlings were incubated under anoxia at +5 degrees C for 10-20 days. In addition a tetrazolium chloride test was carried out to identify the site of anoxic or post-anoxic damage. Flooding tolerance of the barley cultivars was investigated by growing plants to maturity (flowering and seed production) under permanently flooded conditions. The flooding tolerance of the cultivars correlated positively with anoxia tolerance, Kustaa being the most and Pokko the least tolerant and productive of the three tested cultivars. Thus at an intraspecific level anoxia tolerance can be related to flooding tolerance. The TTC-test showed that root tissue, and especially root tips, were more susceptible to anoxia than shoot tissue. The roots of the cultivar Kustaa showed longer tolerance of anoxia than the other two cultivars, with the proximal region of the roots surviving the anoxic treatment. In some cases surviving shoots of the variety Kustaa produced new roots at the base of the stem.","[Fagerstedt, K. V.; Crawford, R. M. M.] Univ St Andrews, Dept Plant Biol & Ecol, St Andrews KY16 9AL, Fife, Scotland","Fagerstedt, KV (reprint author), Univ St Andrews, Dept Plant Biol & Ecol, St Andrews KY16 9AL, Fife, Scotland.",,"Fagerstedt, Kurt.V/AAC-2896-2019","Fagerstedt, Kurt.V/0000-0002-6839-2958",Overseas Research Student grant; Academy of FinlandAcademy of Finland,"This work was supported by an Overseas Research Student grant and a grant from the Academy of Finland to KVF, which are gratefully acknowledged.",,15,12,12,0,8,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0269-8463,,,FUNCT ECOL,Funct. Ecol.,,1987,1,1,,,,,49,55,,10.2307/2389357,,,7,Ecology,Environmental Sciences & Ecology,V26ZQ,WOS:000208583900008,,,,,10/31/19
J,"DAHM, H; STRZELCZYK, E; MAJEWSKA, L",,,,"DAHM, H; STRZELCZYK, E; MAJEWSKA, L",,,"CELLULOLYTIC AND PECTOLYTIC ACTIVITY OF MYCORRHIZAL FUNGI, BACTERIA AND ACTINOMYCETES ASSOCIATED WITH THE ROOTS OF PINUS-SYLVESTRIS",PEDOBIOLOGIA,,,English,Article,,,,,,,,,,"DAHM, H (reprint author), NICHOLAS COPERNICUS UNIV,INST BIOL,MICROBIOL LAB,UL GAGARINA 9,PL-87100 TORUN,POLAND.",,"Dahm, Hanna/O-8721-2015",,,,,39,9,9,0,0,GUSTAV FISCHER VERLAG,JENA,"VILLENGANG 2, D-07745 JENA, GERMANY",0031-4056,,,PEDOBIOLOGIA,Pedobiologia,,1987,30,2,,,,,73,80,,,,,8,Ecology; Soil Science,Environmental Sciences & Ecology; Agriculture,H1880,WOS:A1987H188000001,,,,,10/31/19
J,"PREVOST, D; BORDELEAU, LM; ANTOUN, H",,,,"PREVOST, D; BORDELEAU, LM; ANTOUN, H",,,SYMBIOTIC EFFECTIVENESS OF INDIGENOUS ARCTIC RHIZOBIA ON TEMPERATE FORAGE LEGUME - SAINFOIN (ONOBRYCHIS-VICIIFOLIA),PLANT AND SOIL,,,English,Article,,,,,,,,,"UNIV LAVAL,FAC SCI AGR & ALIMENTAT,DEPT SOLS,QUEBEC CITY G1K 7P4,QUEBEC,CANADA","PREVOST, D (reprint author), AGR CANADA,RECH STN,2560 BOUL HOCHELAGA,ST FOY G1V 2J3,QUEBEC,CANADA.",,"Antoun, Hani/K-3154-2013","Antoun, Hani/0000-0001-9309-420X",,,,15,32,33,0,3,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,104,1,,,,,63,69,,10.1007/BF02370626,,,7,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,K9311,WOS:A1987K931100009,,,,,10/31/19
J,"IKRAM, A; MAHMUD, AW; NAPI, D",,,,"IKRAM, A; MAHMUD, AW; NAPI, D",,,EFFECTS OF P-FERTILIZATION AND INOCULATION BY 2 VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI ON GROWTH AND NODULATION OF CALOPOGONIUM-CAERULEUM,PLANT AND SOIL,,,English,Article,,,,,,,,,,"IKRAM, A (reprint author), RUBBER RES INST MALAYSIA,POB 10150,KUALA LUMPUR 50908,MALAYSIA.",,,,,,,36,1,1,0,3,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,104,2,,,,,195,207,,10.1007/BF02372533,,,13,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,L4739,WOS:A1987L473900007,,,,,10/31/19
J,"PICCINI, D; AZCON, R",,,,"PICCINI, D; AZCON, R",,,EFFECT OF PHOSPHATE-SOLUBILIZING BACTERIA AND VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI ON THE UTILIZATION OF BAYOVAR ROCK PHOSPHATE BY ALFALFA PLANTS USING A SAND-VERMICULITE MEDIUM,PLANT AND SOIL,,,English,Article,,,,,,,,,,"PICCINI, D (reprint author), ESTAC EXPTL ZAIDIN,DEPT MICROBIOL,GRANADA,SPAIN.",,"Azcon, Rosario/H-5240-2015","Azcon, Rosario/0000-0003-4568-4090",,,,19,37,44,0,7,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,101,1,,,,,45,50,,10.1007/BF02371029,,,6,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,J5378,WOS:A1987J537800007,,,,,10/31/19
J,"MCGEE, PA",,,,"MCGEE, PA",,,ALTERATION OF GROWTH OF SOLANUM-OPACUM AND PLANTAGO-DRUMMONDII AND INHIBITION OF REGROWTH OF HYPHAE OF VESICULAR-ARBUSCULAR MYCORRHIZAL FUNGI FROM DRIED ROOT PIECES BY MANGANESE,PLANT AND SOIL,,,English,Article,,,,,,,,,,"MCGEE, PA (reprint author), UNIV ADELAIDE,WAITE AGR RES INST,DEPT PLANT PATHOL,GLEN OSMOND,SA 5064,AUSTRALIA.",,,,,,,14,29,30,0,1,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,101,2,,,,,227,233,,10.1007/BF02370649,,,7,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,J5379,WOS:A1987J537900011,,,,,10/31/19
J,"LAMETA, AD; JAY, M",,,,"LAMETA, AD; JAY, M",,,STUDY OF SOYBEAN AND LENTIL ROOT EXUDATES .3. INFLUENCE OF SOYBEAN ISOFLAVONOIDS ON THE GROWTH OF RHIZOBIA AND SOME RHIZOSPHERIC MICROORGANISMS,PLANT AND SOIL,,,English,Article,,,,,,,,,"UNIV LYON 1,BIOL MICROMOLEC & PHYTOCHIM LAB,F-69622 VILLEURBANNE,FRANCE","LAMETA, AD (reprint author), UNIV PARIS 06,PATHOL VEGETALE LAB,TOUR 53,4 PL JUSSIEU,F-75252 PARIS 05,FRANCE.",,,,,,,31,16,16,0,3,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,101,2,,,,,267,272,,10.1007/BF02370654,,,6,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,J5379,WOS:A1987J537900016,,,,,10/31/19
J,"PREVOST, D; BORDELEAU, LM; CAUDRYREZNICK, S; SCHULMAN, HM; ANTOUN, H",,,,"PREVOST, D; BORDELEAU, LM; CAUDRYREZNICK, S; SCHULMAN, HM; ANTOUN, H",,,"CHARACTERISTICS OF RHIZOBIA ISOLATED FROM 3 LEGUMES INDIGENOUS TO THE CANADIAN HIGH ARCTIC - ASTRAGALUS-ALPINUS, OXYTROPIS-MAYDELLIANA, AND OXYTROPIS-ARCTOBIA",PLANT AND SOIL,,,English,Article,,,,,,,,,"UNIV LAVAL,FAC SCI AGR & ALIMENTAT,DEPT SOLS,QUEBEC CITY G1K 7P4,QUEBEC,CANADA; SIR MORTIMER B DAVIS JEWISH GEN HOSP,LADY DAVIS INST,MONTREAL H3T 1E2,QUEBEC,CANADA","PREVOST, D (reprint author), AGR CANADA,RECH STN,ST FOY G1V 2J3,QUEBEC,CANADA.",,"Antoun, Hani/K-3154-2013","Antoun, Hani/0000-0001-9309-420X",,,,27,55,56,0,11,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,98,3,,,,,313,324,,10.1007/BF02378352,,,12,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,G9347,WOS:A1987G934700002,,,,,10/31/19
J,"LINDSTROM, K; MYLLYNIEMI, H",,,,"LINDSTROM, K; MYLLYNIEMI, H",,,SENSITIVITY OF RED-CLOVER RHIZOBIA TO SOIL ACIDITY FACTORS IN PURE CULTURE AND IN SYMBIOSIS,PLANT AND SOIL,,,English,Article,,,,,,,,,,"LINDSTROM, K (reprint author), UNIV HELSINKI,DEPT MICROBIOL,SF-00710 HELSINKI,FINLAND.",,,"Lindstrom, Kristina/0000-0001-9499-1797",,,,25,16,17,0,2,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,98,3,,,,,353,362,,10.1007/BF02378357,,,10,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,G9347,WOS:A1987G934700007,,,,,10/31/19
J,"SAIF, SR",,,,"SAIF, SR",,,"GROWTH-RESPONSES OF TROPICAL FORAGE PLANT-SPECIES TO VESICULAR-ARBUSCULAR MYCORRHIZAE .1. GROWTH, MINERAL UPTAKE AND MYCORRHIZAL DEPENDENCY",PLANT AND SOIL,,,English,Article,,,,,,,,,,"SAIF, SR (reprint author), CTR INT AGR TROP,APARTADO AEREO 6713,CALI,COLOMBIA.",,,,,,,30,51,53,0,6,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,97,1,,,,,25,35,,10.1007/BF02149820,,,11,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,F7718,WOS:A1987F771800003,,,,,10/31/19
J,"WHITEHEAD, DC",,,,"WHITEHEAD, DC",,,"SOME SOIL-PLANT AND ROOT-SHOOT RELATIONSHIPS OF COPPER, ZINC AND MANGANESE IN WHITE CLOVER AND PERENNIAL RYEGRASS",PLANT AND SOIL,,,English,Article,,,,,,,,,,"WHITEHEAD, DC (reprint author), ANIM & GRASSLAND RES INST,MAIDENHEAD SL6 5LR,BERKS,ENGLAND.",,,,,,,15,17,18,0,0,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,97,1,,,,,47,56,,10.1007/BF02149822,,,10,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,F7718,WOS:A1987F771800005,,,,,10/31/19
J,"SASA, M; ZAHKA, G; JAKOBSEN, I",,,,"SASA, M; ZAHKA, G; JAKOBSEN, I",,,THE EFFECT OF PRETRANSPLANT INOCULATION WITH VA-MYCORRHIZAL FUNGI ON THE SUBSEQUENT GROWTH OF LEEKS IN THE FIELD,PLANT AND SOIL,,,English,Note,,,,,,,,,"RISO NATL LAB,AGR RES DEPT,DK-4000 ROSKILDE,DENMARK","SASA, M (reprint author), UNIV COPENHAGEN,INST THALLOPHYTES,DK-1353 COPENHAGEN,DENMARK.",,"Jakobsen, Iver/F-1116-2011; Jakobsen, Iver/C-2924-2015","Jakobsen, Iver/0000-0002-4548-8535",,,,18,16,16,0,5,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,,1987,97,2,,,,,279,283,,10.1007/BF02374951,,,5,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,F7719,WOS:A1987F771900014,,,,,10/31/19
J,"RAMOS, MLG; MAGALHAES, NFM; BODDEY, RM",,,,"RAMOS, MLG; MAGALHAES, NFM; BODDEY, RM",,,NATIVE AND INOCULATED RHIZOBIA ISOLATED FROM FIELD-GROWN PHASEOLUS-VULGARIS - EFFECTS OF LIMING AN ACID SOIL ON ANTIBIOTIC-RESISTANCE,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,,"RAMOS, MLG (reprint author), EMPRESA BRASILEIRA PESQUISA AGROPECUARIA,PROGRAMA NACL PESQUISA BIOL SOLO,KM 47,SEROPEDICA 23851,RIO DE JANEIRO,BRAZIL.",,,,,,,53,13,14,1,3,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1987,19,2,,,,,179,185,,10.1016/0038-0717(87)90079-4,,,7,Soil Science,Agriculture,H1651,WOS:A1987H165100010,,,,,10/31/19
J,"CHUCHOU, M; GRACE, LJ",,,,"CHUCHOU, M; GRACE, LJ",,,MYCORRHIZAL FUNGI OF PSEUDOTSUGA-MENZIESII IN THE SOUTH ISLAND OF NEW-ZEALAND,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,,"CHUCHOU, M (reprint author), FOREST RES INST,ROTORUA,NEW ZEALAND.",,,,,,,12,14,18,0,0,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1987,19,3,,,,,243,246,,,,,4,Soil Science,Agriculture,H5470,WOS:A1987H547000004,,,,,10/31/19
J,"MODJO, HS; HENDRIX, JW; NESMITH, WC",,,,"MODJO, HS; HENDRIX, JW; NESMITH, WC",,,MYCORRHIZAL FUNGI IN RELATION TO CONTROL OF TOBACCO STUNT DISEASE WITH SOIL FUMIGANTS,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,,,"UNIV KENTUCKY,DEPT PLANT PATHOL,LEXINGTON,KY 40546",,,,,,,,20,23,23,0,4,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,,1987,19,3,,,,,289,295,,10.1016/0038-0717(87)90011-3,,,7,Soil Science,Agriculture,H5470,WOS:A1987H547000011,,,,,10/31/19
J,"MATHENY, TA; KASPERBAUER, MJ; HUNT, PG",,,,"MATHENY, TA; KASPERBAUER, MJ; HUNT, PG",,,STORAGE EFFECTS ON IDENTIFICATION OF RHIZOBIA IN SOYBEAN NODULES BY ELISA,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,,,English,Note,,,,,,,,,,"MATHENY, TA (reprint author), USDA ARS,COASTAL PLAINS SOIL & WATER CONSERVAT RES CTR,POB 3039,FLORENCE,SC 29502, USA.",,,,,,,8,1,1,0,0,SOIL SCI SOC AMER,MADISON,"677 SOUTH SEGOE ROAD, MADISON, WI 53711",0361-5995,,,SOIL SCI SOC AM J,Soil Sci. Soc. Am. J.,JAN-FEB,1987,51,1,,,,,264,265,,10.2136/sssaj1987.03615995005100010056x,,,2,Soil Science,Agriculture,G1595,WOS:A1987G159500056,,,,,10/31/19
J,"SRIVASTAVA, SK; SINGH, KP; UPADHYAY, RS",,,,"SRIVASTAVA, SK; SINGH, KP; UPADHYAY, RS",,,FINE ROOT-GROWTH DYNAMICS IN TEAK (TECTONA-GRANDIS LINN F),CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,,,English,Article,,,,,,,,,"BANARAS HINDU UNIV,CTR ADV STUDY BOT,ECOL RES LAB,VARANASI 221005,UTTAR PRADESH,INDIA",,,"Singh, K/B-3678-2013",,,,,21,34,36,0,3,NATL RESEARCH COUNCIL CANADA,OTTAWA,"RESEARCH JOURNALS, MONTREAL RD, OTTAWA ON K1A 0R6, CANADA",0045-5067,,,CAN J FOREST RES,Can. J. For. Res.-Rev. Can. Rech. For.,DEC,1986,16,6,,,,,1360,1364,,10.1139/x86-240,,,5,Forestry,Forestry,F9915,WOS:A1986F991500035,,,,,10/31/19
J,"BLASCHKE, H",,,,"BLASCHKE, H",,,STUDIES ON THE DEVELOPMENT OF MYCORRHIZAL FINE ROOTS OF NORWAY SPRUCE IN DECLINING FORESTS,FORSTWISSENSCHAFTLICHES CENTRALBLATT,,,German,Article,,,,,,,,,,"BLASCHKE, H (reprint author), UNIV MUNICH,LEHRSTUHL FORSTBOT,AMALIENSTR 52,D-8000 MUNICH 40,FED REP GER.",,,,,,,0,8,13,0,0,BLACKWELL WISSENSCHAFTS-VERLAG GMBH,BERLIN,"KURFURSTENDAMM 57, D-10707 BERLIN, GERMANY",0015-8003,,,FORSTWISS CENTRALBL,Forstwiss. Cent.bl.,DEC,1986,105,6,,,,,477,487,,10.1007/BF02741756,,,11,Forestry,Forestry,F3363,WOS:A1986F336300004,,,,,10/31/19
J,"Axelsson, E; Axelsson, B",,,,"Axelsson, E.; Axelsson, B.",,,Changes in carbon allocation patterns in spruce and pine trees following irrigation and fertilization,TREE PHYSIOLOGY,,,English,Article,,,,,,,,The paper presents an overview of the results of long-term fertilization and irrigation experiments in stands of Scots pine (Pinus sylvestris L.) and Norway spruce (Picea abies (L.) Karst.). Large increases in stemwood production during the first 12 years of the experiments were achieved by fertilization especially when a balanced mixture of macro- and micronutrients was applied. The effect of irrigation alone was small but it greatly enhanced the response of the ground vegetation to the application of a balanced fertilizer. Fertilization did not greatly affect the leaf/stemwood biomass ratio but reduced the ratio of fine roots to total biomass. Drought reduced the coarse-root biomass/fine-root biomass ratio.,"[Axelsson, E.; Axelsson, B.] Swedish Univ Agr Sci, Sect Forest Ecol, S-75007 Uppsala, Sweden","Axelsson, E (reprint author), Swedish Univ Agr Sci, Sect Forest Ecol, S-75007 Uppsala, Sweden.",,,,,,,39,104,104,0,33,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0829-318X,,,TREE PHYSIOL,Tree Physiol.,DEC,1986,2,3-Jan,,,,,189,204,,10.1093/treephys/2.1-2-3.189,,,16,Forestry,Forestry,V04FG,WOS:000207043700018,14975853,,,,10/31/19
